Avg_Timestamp,Source,N_Objects,Avg_Speed,Avg_Acceleration,Approaching,Accelerating,Prev_Group,Group
1723808197802,2,5,1.20570494,0.074002206078279,1,1,020022,020022
1723808197802,2,0,0.0,0.0,0,0,020022,020022
1723808197802,3,7,6.356837485714286,0.3055263871428571,1,1,020022,020022
1723808197802,3,18,0.3394009566666667,0.0590975372835478,0,0,020022,020022
1723808198003,3,7,6.342480785714286,0.2772967861428572,1,1,020022,020022
1723808198003,3,18,0.3394009844444444,0.0431993102664346,0,0,020022,020022
1723808198003,2,5,1.1955610799999998,0.0184130959217209,1,1,020022,020022
1723808198003,2,0,0.0,0.0,0,0,020022,020022
1723808198102,2,5,1.1955611999999998,0.0348243779217209,1,1,020022,020022
1723808198102,2,0,0.0,0.0,0,0,020022,020022
1723808198312,3,18,0.3299821438888889,0.0104669272730828,0,0,020022,020022
1723808198312,3,7,6.227632771428572,0.3636301059999999,1,1,020022,020022
1723808198498,2,5,1.1955611999999998,0.0007181908217209,1,1,020022,020022
1723808198498,2,0,0.0,0.0,0,0,020022,020022
1723808198498,3,7,6.164877114285714,0.3124597319999999,1,1,020022,020022
1723808198498,3,18,0.3390695866666667,0.0368630270328355,0,0,020022,020022
1723808198710,2,5,1.1955611999999998,0.001365317938279,1,1,020022,020022
1723808198710,2,0,0.0,0.0,0,0,020022,020022
1723808198800,2,5,1.1955611999999998,0.000895374678279,1,1,020022,020022
1723808198800,2,0,0.0,0.0,0,0,020022,020022
1723808199015,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808199015,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808199015,2,5,1.1955611999999998,1.321089479035e-06,1,1,020022,020022
1723808199015,2,0,0.0,0.0,0,0,020022,020022
1723808199107,2,5,1.1955611999999998,6.430556172096499e-05,1,1,020022,020022
1723808199107,2,0,0.0,0.0,0,0,020022,020022
1723808199107,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808199107,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808199292,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808199292,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808199617,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808199617,2,0,0.0,0.0,0,0,020022,020022
1723808199617,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808199617,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808199794,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808199794,2,0,0.0,0.0,0,0,020022,020022
1723808199794,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808199794,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808200006,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808200006,2,0,0.0,0.0,0,0,020022,020022
1723808200108,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808200108,2,0,0.0,0.0,0,0,020022,020022
1723808200108,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808200108,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808200309,2,0,0.0,0.0,0,0,020022,020022
1723808200309,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808200309,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808200309,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808200490,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808200490,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808200490,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808200490,2,0,0.0,0.0,0,0,020022,020022
1723808200618,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808200618,2,0,0.0,0.0,0,0,020022,020022
1723808200804,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808200804,2,0,0.0,0.0,0,0,020022,020022
1723808200804,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808200804,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808201005,2,0,0.0,0.0,0,0,020022,020022
1723808201005,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808201005,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808201005,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808201096,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808201096,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808201096,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808201096,2,0,0.0,0.0,0,0,020022,020022
1723808201318,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808201318,2,0,0.0,0.0,0,0,020022,020022
1723808201500,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808201500,2,0,0.0,0.0,0,0,020022,020022
1723808201500,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808201500,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808201699,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808201699,2,0,0.0,0.0,0,0,020022,020022
1723808201699,3,18,0.3599486777777778,0.0493663263805021,0,0,020022,020022
1723808201699,3,6,5.803288433333333,0.2139359666666667,1,1,020022,020022
1723808201800,2,4,0.001,9.784879375e-11,1,1,020022,121011
1723808201800,2,0,0.0,0.0,0,0,020022,121011
1723808202011,3,6,5.803288433333333,0.2139359666666667,1,1,121011,121011
1723808202011,3,18,0.3599486777777778,0.0493663263805021,0,0,121011,121011
1723808202011,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808202011,2,0,0.0,0.0,0,0,121011,121011
1723808202103,3,6,5.803288433333333,0.2139359666666667,1,1,121011,121011
1723808202103,3,18,0.3599486777777778,0.0493663263805021,0,0,121011,121011
1723808202103,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808202103,2,0,0.0,0.0,0,0,121011,121011
1723808202506,3,18,0.3599486777777778,0.0493663263805021,0,0,121011,121011
1723808202506,3,6,5.803288433333333,0.2139359666666667,1,1,121011,121011
1723808202506,2,0,0.0,0.0,0,0,121011,121011
1723808202506,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808202706,3,6,5.803288433333333,0.2139359666666667,1,1,121011,121011
1723808202706,3,18,0.3599486777777778,0.0493663263805021,0,0,121011,121011
1723808202706,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808202706,2,0,0.0,0.0,0,0,121011,121011
1723808202798,3,6,5.803288433333333,0.2139359666666667,1,1,121011,121011
1723808202798,3,18,0.3599486777777778,0.0493663263805021,0,0,121011,121011
1723808202798,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808202798,2,0,0.0,0.0,0,0,121011,121011
1723808203013,3,6,4.05767435,0.0546366843333333,1,1,121011,121011
1723808203013,3,20,0.5988807780000001,0.1194064866484398,0,0,121011,121011
1723808203108,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808203108,2,0,0.0,0.0,0,0,121011,121011
1723808203108,3,6,4.059189816666667,0.0838369829999999,1,1,121011,121011
1723808203108,3,20,0.5698719394999999,0.2084385499284398,0,0,121011,121011
1723808203290,3,6,4.000527616666666,0.1812264817166666,1,1,121011,121011
1723808203290,3,20,0.6401632050000001,0.1548595495697632,0,0,121011,121011
1723808203510,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808203510,2,0,0.0,0.0,0,0,121011,121011
1723808203510,3,6,3.99281766,0.0885413668333333,1,1,121011,121011
1723808203510,3,20,0.545519742,0.2659492571802367,0,0,121011,121011
1723808203699,3,6,3.9725587216666662,0.0896153614999999,1,1,121011,121011
1723808203699,3,20,0.5338002584999999,0.1957330152552367,0,0,121011,121011
1723808203896,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808203896,2,0,0.0,0.0,0,0,121011,121011
1723808204018,3,6,4.008652725,0.0496242543833333,1,1,121011,121011
1723808204018,3,20,0.4877289350000001,0.1363591285222367,0,0,121011,121011
1723808204203,3,20,0.4767199750000001,0.0869236190127867,0,0,121011,121011
1723808204203,3,6,4.044432558333334,0.1115571565666666,1,1,121011,121011
1723808204203,2,0,0.0,0.0,0,0,121011,121011
1723808204203,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808204294,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808204294,2,0,0.0,0.0,0,0,121011,121011
1723808204294,3,6,4.040468758333334,0.0771712926833333,1,1,121011,121011
1723808204294,3,20,0.4678183450000001,0.0824306056494867,0,0,121011,121011
1723808204510,2,4,0.001,9.784879375e-11,1,1,121011,121011
1723808204510,2,0,0.0,0.0,0,0,121011,121011
1723808204706,3,6,3.9838729216666655,0.1177615216646666,1,1,121011,121000
1723808204706,3,20,0.4293006590000001,0.0974246251824467,0,0,121011,121000
1723808204894,3,6,4.0390138166666665,0.4444096123383332,1,1,121000,121000
1723808204894,3,20,0.39852303325,0.1506676205654717,0,0,121000,121000
1723808204894,2,4,0.001,9.784879375e-11,1,1,121000,121000
1723808204894,2,0,0.0,0.0,0,0,121000,121000
1723808204990,2,0,0.0,0.0,0,0,121000,121000
1723808204990,2,4,0.001,9.784879375e-11,1,1,121000,121000
1723808205116,3,6,3.96537884,0.1504930842926667,1,1,121000,121000
1723808205116,3,20,0.3126354620000001,0.2129338581442712,0,0,121000,121000
1723808205305,3,6,3.9196599666666665,0.2614291231286667,1,1,121000,121000
1723808205305,3,19,0.2680095552631578,0.0863557097387065,0,0,121000,121000
1723808205305,2,5,0.4917671999999999,7.8279035e-11,1,1,121000,121000
1723808205305,2,0,0.0,0.0,0,0,121000,121000
1723808205490,3,5,2.76808668,0.0177855174,1,1,121000,121000
1723808205490,3,19,0.2540712884210525,0.0624525096286247,0,0,121000,121000
1723808205614,2,5,0.4917671999999999,7.8279035e-11,1,1,121000,121000
1723808205614,2,0,0.0,0.0,0,0,121000,121000
1723808205800,3,19,0.2240447605263157,0.0948080674927785,0,0,121000,121000
1723808205800,3,5,2.64128924,0.5120129782,1,1,121000,121000
1723808205800,2,0,0.0,0.0,0,0,121000,121000
1723808205800,2,5,0.4917671999999999,7.8279035e-11,1,1,121000,121000
1723808205994,3,5,2.743922334,0.1861586908,1,1,121000,121000
1723808205994,3,19,0.2117300552631578,0.0689187244377586,0,0,121000,121000
1723808205994,2,4,0.001,9.784879375e-11,1,1,121000,121000
1723808205994,2,0,0.0,0.0,0,0,121000,121000
1723808206472,2,4,0.001,9.784879375e-11,1,1,121000,121000
1723808206472,2,0,0.0,0.0,0,0,121000,121000
1723808206472,3,6,2.254101615,0.3538458126666666,1,1,121000,121000
1723808206472,3,19,0.1821461965789473,0.0318953455444822,0,0,121000,121000
1723808206610,2,4,0.001,9.784879375e-11,1,1,121000,121000
1723808206610,2,0,0.0,0.0,0,0,121000,121000
1723808206806,3,19,0.1389335699999999,0.1415606872274852,0,0,121000,121000
1723808206806,3,6,2.3499586,0.067796689,1,1,121000,121000
1723808206806,2,4,0.001,9.784879375e-11,1,1,121000,121000
1723808206806,2,1,5.7763805,0.022913845,0,0,121000,121000
1723808206994,3,6,2.249948376666667,0.497605916,1,1,121000,121000
1723808206994,3,19,0.1423476368421052,0.0384633079744873,0,0,121000,121000
1723808207110,2,4,0.001,9.784879375e-11,1,1,121000,121000
1723808207110,2,1,5.734058,0.11637123,0,0,121000,121000
1723808207314,3,6,2.27710661,0.0862056703333333,1,1,121000,121000
