Avg_Timestamp,Source,N_Objects,Avg_Speed,Avg_Acceleration,Approaching,Accelerating,Group
1723801699272,3,0,0.0,0.0,1,1,101011
1723801699272,3,11,1.0809912545454547,0.1430954796199394,0,0,101011
1723801699366,3,11,1.0929837545454546,0.1458936693166667,0,0,101011
1723801699366,3,0,0.0,0.0,1,1,101011
1723801699582,2,1,2.5665815,0.520057,0,0,101011
1723801699582,3,0,0.0,0.0,1,1,101011
1723801699582,2,5,2.707929954,0.0044633920318163,1,1,101011
1723801699582,3,11,1.1342573181818183,0.169479021127303,0,0,101011
1723801699766,3,11,1.1405984272727274,0.0959722858572848,0,0,101011
1723801699766,3,0,0.0,0.0,1,1,101011
1723801699878,2,4,3.19892035,0.0039763605897703,1,1,101011
1723801699878,2,1,2.5665815,0.016670078,0,0,101011
1723801700075,3,0,0.0,0.0,1,1,111011
1723801700075,3,11,1.1986106363636364,0.1705940757763812,0,0,111011
1723801700176,3,0,0.0,0.0,1,1,111011
1723801700176,3,11,1.1905323,0.0980505999286821,0,0,111011
1723801700176,2,4,3.19892035,0.0004996615777296,1,1,111011
1723801700176,2,1,2.5665815,0.015042232,0,0,111011
1723801700386,2,3,2.073635133333333,0.0002395225803061,1,1,111011
1723801700386,2,1,2.5665815,0.00032223342,0,0,111011
1723801700386,3,0,0.0,0.0,1,1,111011
1723801700386,3,11,1.2151006818181818,0.0802970586045178,0,0,111011
1723801700564,3,0,0.0,0.0,1,1,111011
1723801700564,3,11,1.2183596,0.0587032124179731,0,0,111011
1723801700564,2,3,2.073635133333333,1.686756697281e-05,1,1,111011
1723801700564,2,1,2.5918624,0.09802682,0,0,111011
1723801700682,3,0,0.0,0.0,1,1,111011
1723801700682,3,10,1.3490348200000004,0.0530714978240602,0,0,111011
1723801700867,3,0,0.0,0.0,1,1,111011
1723801700867,3,10,1.3607787600000003,0.0649143133314987,0,0,111011
1723801700867,2,2,0.001,5.29540785e-10,1,1,111011
1723801700867,2,1,2.5918627,0.006594835,0,0,111011
1723801701083,2,2,3.60780255,0.017380155,0,0,111011
1723801701083,3,10,1.3693733900000002,0.0448858953283122,0,0,111011
1723801701083,3,0,0.0,0.0,1,1,111011
1723801701083,2,2,0.001,5.29540785e-10,1,1,111011
1723801701175,3,0,0.0,0.0,1,1,111011
1723801701175,3,9,1.0103617444444444,0.0037457476329863,0,0,111011
1723801701175,2,2,0.001,5.29540785e-10,1,1,111011
1723801701175,2,2,3.603375900000001,0.005180833,0,0,111011
1723801701570,2,2,3.57755255,0.097549225,0,0,111011
1723801701570,3,0,0.0,0.0,1,1,111011
1723801701570,3,9,1.0561037999999998,0.1196576634781247,0,0,111011
1723801701570,2,2,0.001,5.29540785e-10,1,1,111011
1723801701662,3,9,1.061687988888889,0.1324240190336803,0,0,111011
1723801701662,3,0,0.0,0.0,1,1,111011
1723801701876,3,0,0.0,0.0,1,1,111011
1723801701876,3,9,1.0572528444444442,0.0270979590336803,0,0,111011
1723801701876,2,2,0.001,5.29540785e-10,1,1,111011
1723801701876,2,2,3.5201415000000003,0.145626215,0,0,111011
1723801702148,3,9,1.068023288888889,0.066161626700347,0,0,111011
1723801702148,3,0,0.0,0.0,1,1,111011
1723801702275,3,9,1.070068122222222,0.0357335702559025,0,0,111000
1723801702275,2,2,0.001,5.29540785e-10,1,1,111000
1723801702275,3,0,0.0,0.0,1,1,111000
1723801702275,2,2,3.4892163500000004,0.019538975,0,0,111000
1723801702366,3,9,1.0619634,0.0017004498552085,0,0,111000
1723801702366,3,0,0.0,0.0,1,1,111000
1723801702366,2,2,0.001,5.29540785e-10,1,1,111000
1723801702366,2,2,3.42147965,0.164147875,0,0,111000
1723801702590,3,0,0.0,0.0,1,1,111000
1723801702590,3,9,1.0611822555555557,0.0112121244602085,0,0,111000
1723801702769,3,0,0.0,0.0,1,1,111000
1723801702769,3,9,1.0500015111111112,0.0561188554107641,0,0,111000
1723801702769,2,3,0.1240009466666666,0.0321515496469728,1,1,111000
1723801702769,2,3,2.5239593,0.106139308,0,0,111000
1723801702863,3,0,0.0,0.0,1,1,121000
1723801702863,3,9,1.0517058111111113,0.0410883709663196,0,0,121000
1723801702990,2,3,0.1240009333333333,0.0025088640803061,1,1,121000
1723801702990,2,3,2.7417090499999994,0.7934026599999999,0,0,121000
1723801703170,3,9,1.0475963,0.0283869457440974,0,0,121000
